Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2024-08-16,416.7983093261719,419.6568394696199,415.6329698343419,418.919805326896,22775600
2024-08-19,419.8460693359375,420.0651916950313,414.79631569386714,417.28632868553893,15234000
2024-08-20,423.10302734375,424.15879050030776,419.9556774327427,420.015435317403,16387600
2024-08-21,422.4456787109375,424.69662989295495,420.03533264675815,422.38589043229285,16067300
2024-08-22,413.88995361328125,425.0850728631847,412.95370628251766,422.66475709775676,19361900
2024-08-23,415.1250305175781,417.58516466451346,410.44379375355777,415.3142739439322,18493800
2024-08-26,411.8382263183594,415.6130949578331,409.6968209788455,414.70672647734364,13152800
2024-08-27,412.18682861328125,412.7047404254691,408.61117324322794,411.2107324794244,13492900
2024-08-28,408.9597473144531,413.3421641808517,405.6828816466664,413.22264841837114,14882700
2024-08-29,411.4696960449219,420.3640158924635,408.95977368399144,413.2824329478728,17045200
2024-08-30,415.4736328125,415.822210323597,410.48363692465733,413.93977626013776,24308300
2024-09-03,407.80438232421875,418.20267931936957,405.4040060811421,416.2405478075573,20313600
2024-09-04,407.26654052734375,409.5971891641853,402.7546379619835,404.2884945573242,15135800
2024-09-05,406.75860595703125,411.4497822581618,404.50762432491115,405.9916624475026,14195500
2024-09-06,400.0953369140625,409.00956601687597,399.1989078370585,407.42592125419515,19609500
2024-09-09,404.0992431640625,407.01753119323797,400.5434971977151,405.6131601713445,15295100
2024-09-10,412.5453796386719,414.66684525245614,406.0713456246143,406.56934824108026,19594300
2024-09-11,421.3500671386719,422.29625388353406,407.9438146629927,413.84017908445105,19266900
2024-09-12,425.29425048828125,425.6627675750461,418.07321227741465,421.6189886086143,17418800
2024-09-13,428.869873046875,430.1049097614262,423.7603615358477,424.12887859450143,15874600
2024-09-16,429.61688232421875,431.79813615912246,426.50935094179886,428.879848197679,13834700
2024-09-17,433.41168212890625,440.08492951868885,430.5431821213062,438.47140586333086,18874200
2024-09-18,429.0890197753906,434.28816840172493,428.6906237541022,433.2622842089649,18898000
2024-09-19,436.9375305175781,439.73630274210893,435.15467267064554,439.4673922763036,21706600
2024-09-20,433.53118896484375,437.4853309751932,432.4853956233,435.47341133704515,55167100
2024-09-23,431.77825927734375,434.7164566201473,428.6707276626035,432.5451724016005,15128900
2024-09-24,427.45556640625,431.6188608604207,424.3978231376462,431.2702529601879,17015800
2024-09-25,430.3838195800781,431.38979462226376,426.8579828341436,428.11292879639643,13396400
2024-09-26,429.5870056152344,433.5610566850483,427.41572154773536,433.3519041012862,14492000
2024-09-27,426.3101501464844,430.1248672217253,425.762359424982,429.7961684722898,14896100
2024-09-30,428.5810241699219,428.70057032593814,423.67072584299484,426.49937695538483,16807300
2024-10-01,419.0094299316406,426.7683189487975,417.13693529272734,426.73844000863045,19092900
2024-10-02,415.46368408203125,421.1309565128566,415.0453484935869,420.89189457845896,16582300
2024-10-03,414.87603759765625,417.8739927473743,412.63502577299244,415.9616796785687,13686400
2024-10-04,414.39794921875,418.07321108796054,413.3123071245128,416.5692334072243,19169700
